epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
113,2907.27,0.41142,0.28321,0.00469,0.80015,0.82633,0.88036,0.80952,0.4296,0.73476,0.00571,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
114,2938.21,0.39772,0.25044,0.00481,0.87658,0.88896,0.90431,0.82838,0.41794,0.61525,0.00556,0.0204111,0.00680371,0.0204111,0.00680371,0.0204111,0.00680371,0.0204111,0.00680371
115,2967.72,0.40602,0.29065,0.00464,0.87356,0.85637,0.9146,0.83552,0.45,0.54861,0.0061,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
116,2992.64,0.38928,0.28232,0.00461,0.87511,0.80099,0.90654,0.83574,0.4333,0.59267,0.00586,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714
117,3018.46,0.39701,0.27267,0.00465,0.82592,0.82863,0.88681,0.8065,0.45369,0.64625,0.00579,0.0201566,0.00671886,0.0201566,0.00671886,0.0201566,0.00671886,0.0201566,0.00671886
118,3044.43,0.39104,0.24936,0.00457,0.81637,0.89748,0.90345,0.82972,0.43192,0.60089,0.00568,0.0200717,0.00669057,0.0200717,0.00669057,0.0200717,0.00669057,0.0200717,0.00669057
119,3074.09,0.38306,0.24612,0.0045,0.85844,0.9055,0.94038,0.8669,0.40502,0.52716,0.00537,0.0199869,0.00666229,0.0199869,0.00666229,0.0199869,0.00666229,0.0199869,0.00666229
120,3106.17,0.3751,0.26281,0.00432,0.91476,0.86874,0.94173,0.86259,0.42897,0.49155,0.00576,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
121,3137.16,0.3945,0.22406,0.00473,0.86622,0.9187,0.94765,0.86683,0.42378,0.48602,0.00554,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571
122,3171.13,0.38177,0.26832,0.00429,0.8319,0.85896,0.93694,0.85548,0.43793,0.54214,0.00577,0.0197323,0.00657743,0.0197323,0.00657743,0.0197323,0.00657743,0.0197323,0.00657743
123,3202.04,0.37398,0.23127,0.00448,0.91756,0.86335,0.9445,0.87331,0.40893,0.44398,0.00521,0.0196474,0.00654914,0.0196474,0.00654914,0.0196474,0.00654914,0.0196474,0.00654914
124,3235.87,0.37384,0.24141,0.00406,0.88137,0.87646,0.93697,0.85659,0.4265,0.47004,0.00539,0.0195626,0.00652086,0.0195626,0.00652086,0.0195626,0.00652086,0.0195626,0.00652086
125,3267.08,0.38617,0.24537,0.00455,0.92875,0.85263,0.93248,0.83873,0.46672,0.46917,0.00629,0.0194777,0.00649257,0.0194777,0.00649257,0.0194777,0.00649257,0.0194777,0.00649257
126,3297.88,0.37746,0.28193,0.00433,0.86903,0.88919,0.94288,0.86667,0.42488,0.47777,0.00588,0.0193929,0.00646429,0.0193929,0.00646429,0.0193929,0.00646429,0.0193929,0.00646429
127,3328.07,0.3807,0.25893,0.00435,0.88556,0.88635,0.94655,0.86542,0.42404,0.46719,0.00598,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
